dish_name,cross_contam,egg,fish,milk,peanut,shellfish,soy,treenuts,gluten,veg/vgn,dish_type
Awesome Blossom Petals,1,1,,1,,,1,,1,VT,App
Boneless Wings - Buffalo,1,1,1,1,,,1,,1,,App
Boneless Wings - Honey Chipotle,1,1,,1,,,1,,1,,App
Boneless Wings - House BBQ,1,1,,1,,,1,,1,,App
Boneless Wings - Mango-Habanero,1,1,,1,,,1,,1,,App
Bone-In Wings - Buffalo,1,1,1,1,,,,,,,App
Bone- In Wings - Honey Chipotle,1,1,,1,,,,,,,App
Bone- In Wings - House BBQ,1,1,,1,,,1,,,,App
Bone- In Wings - Mango-Habanero,1,1,,1,,,,,,,App
Bottomless Tostada Chips & Salsa,1,,,,,,,,,VG,App
Classic Nachos,1,,,1,,,1,,1,,App
Classic Nachos - Beef,1,,,1,,,1,,1,,App
Classic Nachos - Chicken,1,,,1,,,1,,1,,App
Crispy Cheddar Bites,1,1,,1,,,1,,1,VT,App
Fresh Guacamole & Chips,1,,,,,,,,,VG,App
Fried Pickles,1,1,,1,,,,,1,VT,App
Fried Pickles w/o Ranch Dressing,1,,,,,,,,1,VG,App
Loaded Boneless Wings,1,1,,1,,,1,,1,,App
Skillet Queso & Chips,1,,,1,,,1,,1,,App
Southwestern Eggrolls,1,1,,1,,,1,,1,,App
Texas Cheese Fries Full Order,1,1,,1,,,,,,,App
Texas Cheese Fries w/Chili,1,1,,1,,,,,,,App
White Spinach Queso & Chips,1,,,1,,,1,,,,App
TD™ Awesome Blossom Petals,1,1,,1,,,1,,1,VT,App
TD™ Big Mouth® Bites,,1,,1,,,1,,1,,App
TD™ Boneless Wings - Buffalo,1,1,1,1,,,1,,1,,App
TD™ Boneless Wings - Honey-Chipotle,1,1,,1,,,1,,1,,App
TD™ Boneless Wings - House BBQ,1,1,,1,,,1,,1,,App
TD™ Boneless Wings - Mango-Habanero,1,1,,1,,,1,,1,,App
TD™ Crispy Cheddar Bites,1,1,,1,,,1,,1,VT,App
TD™ Crispy Chicken Crispers w/o Dressing,1,,,,,,,,1,,App
TD™ Fried Pickles,1,1,,1,,,,,1,VT,App
TD™ Honey-Chipotle Chicken Crispers®,1,1,,1,,,,,1,,App
TD™ Mango-Habanero Chicken Crispers®,1,1,,1,,,,,1,,App
TD™ Original Chicken Crispers® w/o Honey Mustard,1,,,,,,1,,1,,App
TD™ Southwestern Eggrolls,1,1,,1,,,1,,1,,App
Dry Rub,,,,,,,1,,,,etnree
Honey-Chipotle,,,,,,,,,,,etnree
House BBQ,,,,,,,1,,,,etnree
Original,,,,,,,,,,,etnree
Alex's Santa Fe Burger,,1,,1,,,1,,1,,etnree
Alex's Santa Fe Burger w/o Bun w/o Cheese,,1,,,,,,,,,etnree
Big Mouth® Bites,,1,,1,,,1,,1,,etnree
Chili's Chili Burger w/o Bun w/o Cheese,1,,,,,,1,,,,etnree
Just Bacon Burger,,1,,1,,,1,,1,,etnree
Just Bacon Burger w/o Bun,,1,,1,,,1,,,,etnree
Mushroom Swiss Burger,,1,,1,,,1,,1,,etnree
Mushroom Swiss Burger w/o Bun,,1,,1,,,1,,,,etnree
Oldtimer® Burger,,,,,,,1,,1,,etnree
Oldtimer® Burger w/o Bun,,,,,,,,,,,etnree
Oldtimer® Burger With Cheese,,,,1,,,1,,1,,etnree
