dishID,dish_name,cross_contamination,egg,fish,milk,peanut,shellfish,soy,treenuts,gluten,veg/vgn,dish_type
0,Awesome Blossom Petals,True,True,False,True,False,False,True,False,True,True,App
1,Boneless Wings - Buffalo,True,True,True,True,False,False,True,False,True,False,App
2,Boneless Wings - Honey Chipotle,True,True,False,True,False,False,True,False,True,False,App
3,Boneless Wings - House BBQ,True,True,False,True,False,False,True,False,True,False,App
4,Boneless Wings - Mango-Habanero,True,True,False,True,False,False,True,False,True,False,App
5,Bone-In Wings - Buffalo,True,True,True,True,False,False,False,False,False,False,App
6,Bone- In Wings - Honey Chipotle,True,True,False,True,False,False,False,False,False,False,App
7,Bone- In Wings - House BBQ,True,True,False,True,False,False,True,False,False,False,App
8,Bone- In Wings - Mango-Habanero,True,True,False,True,False,False,False,False,False,False,App
9,Bottomless Tostada Chips & Salsa,True,False,False,False,False,False,False,False,False,True,App
10,Classic Nachos,True,False,False,True,False,False,True,False,True,False,App
11,Classic Nachos - Beef,True,False,False,True,False,False,True,False,True,False,App
12,Classic Nachos - Chicken,True,False,False,True,False,False,True,False,True,False,App
13,Crispy Cheddar Bites,True,True,False,True,False,False,True,False,True,True,App
14,Fresh Guacamole & Chips,True,False,False,False,False,False,False,False,False,True,App
15,Fried Pickles,True,True,False,True,False,False,False,False,True,True,App
16,Fried Pickles w/o Ranch Dressing,True,False,False,False,False,False,False,False,True,True,App
17,Loaded Boneless Wings,True,True,False,True,False,False,True,False,True,False,App
18,Skillet Queso & Chips,True,False,False,True,False,False,True,False,True,False,App
19,Southwestern Eggrolls,True,True,False,True,False,False,True,False,True,False,App
20,Texas Cheese Fries Full Order,True,True,False,True,False,False,False,False,False,False,App
21,Texas Cheese Fries w/Chili,True,True,False,True,False,False,False,False,False,False,App
22,White Spinach Queso & Chips,True,False,False,True,False,False,True,False,False,False,App
23,TD™ Awesome Blossom Petals,True,True,False,True,False,False,True,False,True,True,App
24,TD™ Big Mouth® Bites,False,True,False,True,False,False,True,False,True,False,App
25,TD™ Boneless Wings - Buffalo,True,True,True,True,False,False,True,False,True,False,App
26,TD™ Boneless Wings - Honey-Chipotle,True,True,False,True,False,False,True,False,True,False,App
27,TD™ Boneless Wings - House BBQ,True,True,False,True,False,False,True,False,True,False,App
28,TD™ Boneless Wings - Mango-Habanero,True,True,False,True,False,False,True,False,True,False,App
29,TD™ Crispy Cheddar Bites,True,True,False,True,False,False,True,False,True,True,App
30,TD™ Crispy Chicken Crispers w/o Dressing,True,False,False,False,False,False,False,False,True,False,App
31,TD™ Fried Pickles,True,True,False,True,False,False,False,False,True,True,App
32,TD™ Honey-Chipotle Chicken Crispers®,True,True,False,True,False,False,False,False,True,False,App
33,TD™ Mango-Habanero Chicken Crispers®,True,True,False,True,False,False,False,False,True,False,App
34,TD™ Original Chicken Crispers® w/o Honey Mustard,True,False,False,False,False,False,True,False,True,False,App
35,TD™ Southwestern Eggrolls,True,True,False,True,False,False,True,False,True,False,App
36,Dry Rub,False,False,False,False,False,False,True,False,False,False,etnree
37,Honey-Chipotle,False,False,False,False,False,False,False,False,False,False,etnree
38,House BBQ,False,False,False,False,False,False,True,False,False,False,etnree
39,Original,False,False,False,False,False,False,False,False,False,False,etnree
40,Alex's Santa Fe Burger,False,True,False,True,False,False,True,False,True,False,etnree
41,Alex's Santa Fe Burger w/o Bun w/o Cheese,False,True,False,False,False,False,False,False,False,False,etnree
